"name","url","membership_status","last_active_visible"
"Yuzu Cigar Club Lounge | 21+","https://www.facebook.com/groups/1702820237822858/","managed","Last active 2 hours ago"
"Cigar Fans Club","https://www.facebook.com/groups/cigarsloverclub/","member","Last active 2 days ago"
"Cigar Smokers Worldwide","https://www.facebook.com/groups/3641803692555973/","member","Last active 34 minutes ago"
"Black Cigar Smokers","https://www.facebook.com/groups/1016284215225042/","member","Last active 14 minutes ago"
"Cigars - TheCigarNetwork.com Facebook Group","https://www.facebook.com/groups/cigargroups/","member","Last active 12 minutes ago"
"Cigar Fanatics","https://www.facebook.com/groups/cigarfanatics/","member","Last active 21 minutes ago"
"Cigar Connoisseurs","https://www.facebook.com/groups/455005309068497/","member","Last active 9 minutes ago"
"Black Cigar Smokers","https://www.facebook.com/groups/942621596899397/","member","Last active 4 minutes ago"
"Black Cigar Smokers","https://www.facebook.com/groups/735608425041386/","member","Last active 23 hours ago"
"Cigar Lovers Club USA","https://www.facebook.com/groups/cigarloversclubusa/","member","Last active 3 minutes ago"
"Black Cigar Aficionados of PHX","https://www.facebook.com/groups/1887442114724319/","member","Last active 2 days ago"
"Chicago Cigar Events","https://www.facebook.com/groups/174948779784281/","member","Last active about an hour ago"
"Cigars Daily Nation","https://www.facebook.com/groups/1255936989156510/","member","Last active 5 minutes ago"
"Black Women Who Love Cigars","https://www.facebook.com/groups/678466927857421/","member","Last active 36 minutes ago"
"Cigar Lovers Club","https://www.facebook.com/groups/806907179324299/","member","Last active 5 minutes ago"
"Cigar Smokers United","https://www.facebook.com/groups/367445710324729/","member","Last active 2 days ago"
"Cigar Places","https://www.facebook.com/groups/cigarplaces/","member","Last active a day ago"
"Cigar Aficionados","https://www.facebook.com/groups/958996449547682/","member","Last active 5 minutes ago"
"Cigar Lovers only","https://www.facebook.com/groups/263830603141341/","member","Last active about an hour ago"
"Black Cigar Smokers Guild","https://www.facebook.com/groups/8157369361006674/","member","Last active about an hour ago"
"Black Cigar Smokers","https://www.facebook.com/groups/985278229212365/","member","Last active 20 hours ago"
"Tap N Ash Social Club and Cigar Lounge Fan Club","https://www.facebook.com/groups/707157250579467/","member","Last active 2 hours ago"
"Canada Cigar Aficionados","https://www.facebook.com/groups/311917499410817/","member","Last active 2 days ago"
"Cigar Family","https://www.facebook.com/groups/303825358898608/","member","Last active 2 hours ago"
"Black Cigar Smokers United","https://www.facebook.com/groups/1093588954481061/","member","Last active 31 minutes ago"
"Black Cigar Smokers","https://www.facebook.com/groups/476874138490306/","member","Last active 3 minutes ago"
"CIGAR LOVERS AND FRIENDS","https://www.facebook.com/groups/949044793119217/","member","Last active 2 hours ago"
"Arizona Cigar Channel","https://www.facebook.com/groups/469952574389320/","member","Last active 22 hours ago"
"Black Cigars Society","https://www.facebook.com/groups/1441070243135757/","member","Last active a week ago"
"Cigars and Dark LLC","https://www.facebook.com/groups/cigarsanddark/","member","Last active 3 hours ago"
"Bourbon and Cigars","https://www.facebook.com/groups/1133047376753408/","member","Last active 7 minutes ago"
"Black Cigar Smokers","https://www.facebook.com/groups/395217335256970/","member","Last active 16 hours ago"
"Cigar Pxrn","https://www.facebook.com/groups/1435680286773351/","member","Last active a week ago"
"Cigars Daily Nation","https://www.facebook.com/groups/506323898896411/","member","Last active a few seconds ago"
"Chicago Cigar Week","https://www.facebook.com/groups/1099563190881341/","member","Last active 6 hours ago"
"Ladies and Gents Cigars & Whiskey","https://www.facebook.com/groups/522041549135810/","member","Last active about an hour ago"
"ELITE CIGARS CHICAGO","https://www.facebook.com/groups/2623279334438240/","member","Last active 18 minutes ago"
"Cigar Enthusiasts Hub","https://www.facebook.com/groups/759432779481724/","member","Last active a few seconds ago"
"Cigars, Whiskey, and Beautiful Women","https://www.facebook.com/groups/230685984153511/","member","Last active 7 hours ago"
"The Boutique Cigar Lovers","https://www.facebook.com/groups/1906529346551120/","member","Last active about a minute ago"
"International Cigar Tribe","https://www.facebook.com/groups/internationalcigartribe/","member","Last active 41 minutes ago"
"I Smoke Cigars!","https://www.facebook.com/groups/513791398739325/","member","Last active 6 hours ago"
"Houston Cigar Week","https://www.facebook.com/groups/204740201703068/","member","Last active 3 days ago"
"Premium cigars","https://www.facebook.com/groups/62827310349/","member","Last active 17 minutes ago"
"Daily Cigar","https://www.facebook.com/groups/1936354230007914/","member","Last active 6 hours ago"
"Smoke Squad Cigar Smokers","https://www.facebook.com/groups/229148647418716/","member","Last active 3 minutes ago"
"HOUSTON CIGAR LIFESTYLE & EVENTS","https://www.facebook.com/groups/1162225207249845/","member","Last active 7 hours ago"
"The Baltimore Three Cigar Divas","https://www.facebook.com/groups/438011386242044/","member","Last active 6 hours ago"
"Ambassadors Of The Leaf","https://www.facebook.com/groups/148432681867180/","member","Last active a day ago"
"Sweet Smoke Cigar Club","https://www.facebook.com/groups/908363969502089/","member","Last active 2 hours ago"
"The Cigar Family","https://www.facebook.com/groups/220536947577600/","member","Last active 6 hours ago"
"SATC Cigar Shops Review And Events","https://www.facebook.com/groups/1746278352366074/","member","Last active 3 days ago"
