"private_rank","name","url","members_visible","members_numeric","activity_visible","account_status","posting_note","priority_note","source"
"1","Cigar Connoisseurs","https://www.facebook.com/groups/455005309068497/","58K","58000","25 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"2","Cigar Lovers Club","https://www.facebook.com/groups/806907179324299/","54K","54000","5 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"3","Cigars Daily Nation","https://www.facebook.com/groups/cigarsdailynation/","42K","42000","90+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"4","Black Cigar Smokers","https://www.facebook.com/groups/1016284215225042/","39K","39000","11 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"5","Davidoff Cigars","https://www.facebook.com/groups/DavidoffCigars/","38K","38000","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"6","Cigar Lounge","https://www.facebook.com/groups/1609422909287244/","24K","24000","10 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"7","VOLUPTUOUS SMOK’RS (CIGARS)","https://www.facebook.com/groups/2966334576753048/","22K","22000","40+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"8","Brothers of the Leaf (Online Cigar Community)","https://www.facebook.com/groups/37884674859/","22K","22000","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"9","International Cigar Smokers","https://www.facebook.com/groups/1667773096797417/","22K","22000","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"10","Cigar Fanatics","https://www.facebook.com/groups/cigarfanatics/","22K","22000","24 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"11","Black Cigar Smokers United","https://www.facebook.com/groups/1093588954481061/","21K","21000","2 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"12","Not Gentlemanly Cigar Smokers","https://www.facebook.com/groups/291413941824848/","20K","20000","20+ posts a day","unknown","rules_unchecked","check pending/request status before action","original-cigar-search"
"13","Cigar Aficionados","https://www.facebook.com/groups/2204747207/","20K","20000","30+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"14","les amoureux du cigare","https://www.facebook.com/groups/295570281304767/","18K","18000","7 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"15","Perdomo Cigars","https://www.facebook.com/groups/PerdomoCigars/","18K","18000","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"16","Cigars, Whiskey, and Beautiful Women","https://www.facebook.com/groups/230685984153511/","17K","17000","3 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"17","Ladies and Gents Cigars & Whiskey","https://www.facebook.com/groups/522041549135810/","16K","16000","25 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"18","The Cigar Community","https://www.facebook.com/groups/thecigarcommunity/","16K","16000","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"19","Cigar Smokers Worldwide","https://www.facebook.com/groups/3641803692555973/","15K","15000","4 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"20","Cigar Corner","https://www.facebook.com/groups/488889171773214/","13K","13000","6 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
