"attempt","rank","name","url","members_visible","posting_note","status","detail","timestamp"
"1","3","QUÀ BIẾU TẾT _ RƯỢU VANG _ WHISKY _ HỘP QUÀ _ TỦ VÀ DỤNG CỤ RƯỢU _ CIGAR","https://www.facebook.com/groups/846412227877231/","20K","commercial_or_sales_surface_skip_for_video","already_joined","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"2","4","habanos cigar club","https://www.facebook.com/groups/5819346193/","18K","rules_unchecked","unknown_after_click","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"3","5","Cigarbid.com Fan Page","https://www.facebook.com/groups/743005156649094/","14K","commercial_or_sales_surface_skip_for_video","joined","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"4","6","Hội Cigar Chất Lượng.","https://www.facebook.com/groups/1015932059546283/","13K","rules_unchecked","joined","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"5","9","Cuban Cigar Federation","https://www.facebook.com/groups/927077525341183/","8.2K","rules_unchecked","joined","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"6","10","Rocky Patel Cigars Group","https://www.facebook.com/groups/RockyPatelCigarsGroup/","7.4K","rules_unchecked","joined","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"7","12","Cigar Nutz","https://www.facebook.com/groups/285379605326885/","7.3K","rules_unchecked","joined","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"8","14","Big Boy Cigar Life","https://www.facebook.com/groups/1072046059628397/","6.7K","rules_unchecked","unknown_after_click","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"9","21","Original tobacco, cigar, cigarettes (гаансны тамхи, навчин тамхи, янжуур)","https://www.facebook.com/groups/4859148354169900/","5.4K","commercial_or_sales_surface_skip_for_video","unknown_after_click","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
"10","24","Cigar Cuba _ Cigar non ( Chính Hãng - Uy tín tạo niềm tin )","https://www.facebook.com/groups/3049102448630934/","5K","commercial_or_sales_surface_skip_for_video","unknown_after_click","Reconstructed from completed browser batch console output after timeout reset","2026-06-12T19:49:58.138Z"
