"rank","name","url","privacy","members_visible","members_numeric","activity_visible","account_status","posting_note","query_source"
"1","Review Cigar Cuba -Xì Gà Đức 🇩🇪 - Séc🇨🇿-Rượu Whisky Chính Hãng Giá Tốt","https://www.facebook.com/groups/132650787459610/","Public","89K","89000","5 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","whisky cigars; cigar whisky"
"2","Cigar - Ruợu Whisky Chính Hãng Xách Tay Nội Địa Đức 🇩🇪","https://www.facebook.com/groups/1993028647406028/","Public","65K","65000","20+ posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","cigar whisky"
"3","QUÀ BIẾU TẾT _ RƯỢU VANG _ WHISKY _ HỘP QUÀ _ TỦ VÀ DỤNG CỤ RƯỢU _ CIGAR","https://www.facebook.com/groups/846412227877231/","Public","20K","20000","10+ posts a day","already_member","commercial_or_sales_surface_skip_for_video","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; whisky cigars; cigar whisky"
"4","Cigars, Whiskey, and Beautiful Women","https://www.facebook.com/groups/230685984153511/","Private","17K","17000","3 unread posts","already_member","already_member_recheck_rules_before_posting","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; whiskey cigars; whisky cigars; cigars whiskey; cigar whisky"
"5","Ladies and Gents Cigars & Whiskey","https://www.facebook.com/groups/522041549135810/","Private","16K","16000","25 unread posts","already_member","already_member_recheck_rules_before_posting","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; whiskey cigars; whisky cigars; cigars whiskey; bourbon whiskey cigars; cigar whisky"
"6","Bourbon 🥃 and Cigars","https://www.facebook.com/groups/1133047376753408/","Public","11K","11000","Member since June 2026 Visit","already_member","already_member_recheck_rules_before_posting","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; cigar bourbon; cigars bourbon"
"7","Whisky/Cigar FB Club - Philippines","https://www.facebook.com/groups/838296729657411/","Public","10K","10000","4 posts a day","not_member_join_visible","combo cigar-and-spirits group; recheck rules before action","whisky cigars; cigar whisky"
"8","WoMen Whiskey&Cigars","https://www.facebook.com/groups/347587179609002/","Private","4.9K","4900","2 posts a day","not_member_join_visible","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; whiskey cigars; whisky cigars; cigars whiskey; bourbon whiskey cigars; cigars bourbon; cigar whisky"
"9","Cigars,Whiskey Club","https://www.facebook.com/groups/cigarwomen/","Public","3.2K","3200","","already_member","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; whisky cigars; cigars whiskey; cigar whisky"
"10","Cigar, Sounds & Spirits","https://www.facebook.com/groups/2311885332222456/","Private","2.4K","2400","2 posts a day","not_member_join_visible","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; cigar spirits"
"11","Bourbon and Cigars Lovers","https://www.facebook.com/groups/848932042475785/","Public","2.2K","2200","","already_member","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; bourbon whiskey cigars; cigar bourbon; cigars bourbon"
"12","Bourbon and Cigar Lovers","https://www.facebook.com/groups/893619259170446/","Public","2.1K","2100","","not_member_join_visible","combo cigar-and-spirits group; recheck rules before action","bourbon whiskey cigars"
"13","Cigars | Cinema | Whiskey","https://www.facebook.com/groups/249234097505592/","Private","2K","2000","20+ posts a day","not_member_join_visible","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; whiskey cigars; whisky cigars; cigars whiskey; bourbon whiskey cigars; cigar bourbon; cigars bourbon; cigar whisky"
"14","DIVINE LEAF LLC Cigars and Bourbons","https://www.facebook.com/groups/373043077998264/","Private","1.6K","1600","7 posts a day","not_member_join_visible","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; cigar bourbon; cigar spirits; cigars bourbon"
"15","STL Bourbon & Cigar Society","https://www.facebook.com/groups/993229818035511/","Public","1.6K","1600","3 posts a day","not_member_join_visible","combo cigar-and-spirits group; recheck rules before action","bourbon cigars; cigar bourbon; cigars bourbon"
"16","Cigars, Cocktails & Wines","https://www.facebook.com/groups/968750776989620/","Public","1.5K","1500","2 posts a day","already_member","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv"
"17","Whisky & Cigar Society Thailand","https://www.facebook.com/groups/242865579227541/","Public","1.5K","1500","3 posts a day","not_member_join_visible","combo cigar-and-spirits group; recheck rules before action","whisky cigars; cigar whisky"
"18","Louisiana Bourbon & Cigar","https://www.facebook.com/groups/392274935393234/","Private","1.4K","1400","3 posts a day","not_member_join_visible","combo cigar-and-spirits group; recheck rules before action","bourbon cigars; cigar bourbon; cigars bourbon"
"19","Cigar & Whiskey Lovers","https://www.facebook.com/groups/cigarloversclubs/","Public","1.3K","1300","2 posts a day","already_member","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; whisky cigars; cigars whiskey; cigar whisky"
"20","Whisky, Cigars and Cool Adventures","https://www.facebook.com/groups/308510366542791/","Public","839","839","","not_member_join_visible","combo cigar-and-spirits group; recheck rules before action","whisky cigars; cigar whisky"
"21","The Bourbon Whisky and Cigars page","https://www.facebook.com/groups/1169458394011678/","Private","694","694","5 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; whiskey cigars; whisky cigars; cigars whiskey; bourbon whiskey cigars; cigar bourbon; cigar spirits; cigars bourbon; cigar whisky"
"22","Friends of Castro’s Cigars & Cocktail Lounge","https://www.facebook.com/groups/786839186357002/","Public","684","684","","not_member_join_visible","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; whisky cigars; bourbon whiskey cigars; cigar bourbon; cigars bourbon; cigar whisky"
"23","Cigar - whisky - cognac Sách Tay Chính Hãng","https://www.facebook.com/groups/muavabankhoianh/","Public","595","595","3 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","cigar whisky"
"24","Cigars, Spirits(Bourbon), Golf and USA","https://www.facebook.com/groups/588230630615128/","Public","575","575","10+ posts a day","not_member_join_visible","rules_unchecked","docs/facebook-cigar-group-targets-100-plus-2026-06-12.csv; bourbon cigars; whisky cigars; bourbon whiskey cigars; cigar bourbon; cigar spirits; cigars bourbon; cigar whisky"
