"timestamp","rank","name","privacy","members_visible","url","posting_note","attempt_status","questions_seen","answers_submitted","notes"
"2026-06-12T20:29:18.657Z","1","Review Cigar Cuba -Xì Gà Đức 🇩🇪 - Séc🇨🇿-Rượu Whisky Chính Hãng Giá Tốt","Public","89K","https://www.facebook.com/groups/132650787459610/","commercial_or_sales_surface_skip_for_video","error","","no","Timed out after 3000ms waiting for selector internal:role=button[name=""Join group""s]: Timed out running CDP command ""Runtime.evaluate"" for tab 7
waiting on click for selector internal:role=button[name=""Join group""s]"
"2026-06-12T20:29:46.161Z","2","Cigar - Ruợu Whisky Chính Hãng Xách Tay Nội Địa Đức 🇩🇪","Public","65K","https://www.facebook.com/groups/1993028647406028/","commercial_or_sales_surface_skip_for_video","error","","no","Timed out after 3000ms waiting for selector internal:role=button[name=""Join group""s]: Timed out running CDP command ""Runtime.evaluate"" for tab 7
waiting on click for selector internal:role=button[name=""Join group""s]"
"2026-06-12T20:30:14.237Z","7","Whisky/Cigar FB Club - Philippines","Public","10K","https://www.facebook.com/groups/838296729657411/","combo cigar-and-spirits group; recheck rules before action","error","","no","Timed out after 3000ms waiting for selector internal:role=button[name=""Join group""s]: Timed out running CDP command ""Runtime.evaluate"" for tab 7
waiting on click for selector internal:role=button[name=""Join group""s]"
"2026-06-12T20:30:44.488Z","12","Bourbon and Cigar Lovers","Public","2.1K","https://www.facebook.com/groups/893619259170446/","combo cigar-and-spirits group; recheck rules before action","error","","no","Timed out after 3000ms waiting for selector internal:role=button[name=""Join group""s]: Timed out running CDP command ""Runtime.evaluate"" for tab 7
waiting on click for selector internal:role=button[name=""Join group""s]"
"2026-06-12T20:31:12.629Z","15","STL Bourbon & Cigar Society","Public","1.6K","https://www.facebook.com/groups/993229818035511/","combo cigar-and-spirits group; recheck rules before action","error","","no","Timed out after 3000ms waiting for selector internal:text=""Join group""s >> nth=0: Timed out running CDP command ""Runtime.evaluate"" for tab 7
waiting on click for selector internal:text=""Join group""s >> nth=0"
"2026-06-12T20:31:43.561Z","17","Whisky & Cigar Society Thailand","Public","1.5K","https://www.facebook.com/groups/242865579227541/","combo cigar-and-spirits group; recheck rules before action","error","","no","Timed out after 3000ms waiting for selector internal:role=button[name=""Join group""s]: Timed out running CDP command ""Runtime.evaluate"" for tab 7
waiting on click for selector internal:role=button[name=""Join group""s]"
"2026-06-12T20:34:11.906Z","17","Whisky & Cigar Society Thailand","Public","1.5K","https://www.facebook.com/groups/242865579227541/","combo cigar-and-spirits group; recheck rules before action","joined","","no","manual_verify_joined_after_visible_dom_refresh"
"2026-06-12T20:34:11.907Z","1","Review Cigar Cuba -Xì Gà Đức 🇩🇪 - Séc🇨🇿-Rượu Whisky Chính Hãng Giá Tốt","Public","89K","https://www.facebook.com/groups/132650787459610/","commercial_or_sales_surface_skip_for_video","questions_required_after_click","question_or_submit_flow_visible","no","Clicked visible join control; questions/submit flow visible"
"2026-06-12T20:34:28.366Z","2","Cigar - Ruợu Whisky Chính Hãng Xách Tay Nội Địa Đức 🇩🇪","Public","65K","https://www.facebook.com/groups/1993028647406028/","commercial_or_sales_surface_skip_for_video","joined","","no","Clicked visible join control; page shows Joined"
"2026-06-12T20:34:44.953Z","7","Whisky/Cigar FB Club - Philippines","Public","10K","https://www.facebook.com/groups/838296729657411/","combo cigar-and-spirits group; recheck rules before action","joined","","no","Clicked visible join control; page shows Joined"
"2026-06-12T20:35:01.516Z","12","Bourbon and Cigar Lovers","Public","2.1K","https://www.facebook.com/groups/893619259170446/","combo cigar-and-spirits group; recheck rules before action","joined","","no","Clicked visible join control; page shows Joined"
"2026-06-12T20:35:18.216Z","15","STL Bourbon & Cigar Society","Public","1.6K","https://www.facebook.com/groups/993229818035511/","combo cigar-and-spirits group; recheck rules before action","joined","","no","Clicked visible join control; page shows Joined"
"2026-06-12T20:37:23.930Z","8","WoMen Whiskey&Cigars","Private","4.9K","https://www.facebook.com/groups/347587179609002/","rules_unchecked","joined","","no","No rules agreement visible in current viewport/body"
"2026-06-12T20:37:32.571Z","10","Cigar, Sounds & Spirits","Private","2.4K","https://www.facebook.com/groups/2311885332222456/","rules_unchecked","unknown_after_click_or_open","","no","No rules agreement visible in current viewport/body"
"2026-06-12T20:37:41.938Z","13","Cigars | Cinema | Whiskey","Private","2K","https://www.facebook.com/groups/249234097505592/","rules_unchecked","questions_required_answers_needed","What's the Last Cigar you smoked and where did you Purchase ? | What's the Last Movie or TV show you Watched ?","no","Rules agreement visible; waiting for user-provided answers before submit"
"2026-06-12T20:37:55.569Z","14","DIVINE LEAF LLC Cigars and Bourbons","Private","1.6K","https://www.facebook.com/groups/373043077998264/","rules_unchecked","request_pending_no_questions_visible","","no","No rules agreement visible in current viewport/body"
"2026-06-12T20:38:09.642Z","18","Louisiana Bourbon & Cigar","Private","1.4K","https://www.facebook.com/groups/392274935393234/","combo cigar-and-spirits group; recheck rules before action","unknown_after_click_or_open","","no","No rules agreement visible in current viewport/body"
