"timestamp","rank","name","privacy","members_visible","url","final_status","answers_submitted","notes","visible_buttons"
"2026-06-12T20:46:15.215Z","1","Review Cigar Cuba -Xì Gà Đức 🇩🇪 - Séc🇨🇿-Rượu Whisky Chính Hãng Giá Tốt","Public","89K","https://www.facebook.com/groups/132650787459610/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:46:21.082Z","2","Cigar - Ruợu Whisky Chính Hãng Xách Tay Nội Địa Đức 🇩🇪","Public","65K","https://www.facebook.com/groups/1993028647406028/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:46:27.489Z","7","Whisky/Cigar FB Club - Philippines","Public","10K","https://www.facebook.com/groups/838296729657411/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:46:33.515Z","8","WoMen Whiskey&Cigars","Private","4.9K","https://www.facebook.com/groups/347587179609002/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:46:41.351Z","10","Cigar, Sounds & Spirits","Private","2.4K","https://www.facebook.com/groups/2311885332222456/","request_pending","yes","Yes to 21+; All of the above; Absolutely - good vibes only; agreed to group rules","Cancel request | Join group | Join group"
"2026-06-12T20:46:47.562Z","12","Bourbon and Cigar Lovers","Public","2.1K","https://www.facebook.com/groups/893619259170446/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:46:57.212Z","13","Cigars | Cinema | Whiskey","Private","2K","https://www.facebook.com/groups/249234097505592/","request_pending","yes","Last cigar: Padron 1964 Anniversary from a local cigar lounge/shop; last show: The Bear; agreed to group rules","Cancel request | Cancel request"
"2026-06-12T20:47:02.832Z","14","DIVINE LEAF LLC Cigars and Bourbons","Private","1.6K","https://www.facebook.com/groups/373043077998264/","request_pending","not_required","No questions visible; request pending after join click","Cancel request | Join group"
"2026-06-12T20:47:08.897Z","15","STL Bourbon & Cigar Society","Public","1.6K","https://www.facebook.com/groups/993229818035511/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:47:14.808Z","17","Whisky & Cigar Society Thailand","Public","1.5K","https://www.facebook.com/groups/242865579227541/","joined","no","Joined; no pending questions visible","Joined | Joined"
"2026-06-12T20:47:23.268Z","18","Louisiana Bourbon & Cigar","Private","1.4K","https://www.facebook.com/groups/392274935393234/","request_pending","yes","Yes to 21+; Yes to adult smoker/drinker meetup purpose; agreed to group rules","Cancel request"
